ＪＡ広島病院前,ジェーエーひろしまびょういんまえ,JA Hiroshimabyouinmae
ほくほく大島,ほくほくおおしま,Hokuhokuooshima
ほしみ,ほしみ,Hoshimi
みさき公園,みさきこうえん,Misaki Park
みずほ台,みずほだい,Mizuhodai
みつわ台,みつわだい,Mitsuwadai
みどり湖,みどりこ,Midoriko
みどり口,みどりぐち,Midoriguchi
みどり台,みどりだい,Midoridai
みどり中央,みどりちゅうおう,Midorichuuou
みどり中街,みどりなかまち,Midorinakamachi
みなと元町,みなともとまち,Minatomotomachi
みなみ子宝温泉,みなみこだからおんせん,Minamikodakaraonsen
みのり台,みのりだい,Minoridai
みらい平,みらいだいら,Miraidaira
めじろ台,めじろだい,Mejirodai
もたて山,もたてやま,Motateyama
やぐま台,やぐまだい,Yagumadai
やながわ希望の森公園前,やながわきぼうのもりこうえんまえ,Yanagawakibounomorikouenmae
ゆだ錦秋湖,ゆだきんしゅうこ,Yudakinshuuko
ゆだ高原,ゆだこうげん,Yudakougen
ゆめが丘,ゆめがおか,Yumegaoka
りんくうタウン,りんくうタウン,Rinkuutaun
りんくう常滑,りんくうとこなめ,Rinkuutokoname
アイランドセンター,アイランドセンター,Island Center
アイランド北口,アイランドきたぐち,Island north entrance
アスモ前,アスモまえ,Asumomae
アプトいちしろ,アプトいちしろ,Aputoichishiro
インテック本社前,インテックほんしゃまえ,Intekkuhonshamae
ウェスパ椿山,ウェスパつばきやま,Wesupatsubakiyama
ウッディタウン中央,ウッディタウンちゅうおう,Woodytown Central
ガーラ湯沢,ガーラゆざわ,Ga-rayuzawa
グランド通,グランドどおり,Grand Doori
ケーブル延暦寺,ケーブルえんりゃくじ,Cable Enryakuji
ケーブル坂本,ケーブルさかもと,Cable Sakamoto
ケーブル山上,ケーブルさんじょう,Cable Sanjou
ケーブル八瀬,ケーブルやせ,Cable Yase
ケーブル比叡,ケーブルひえい,Cable Hiei
コスモスクエア,コスモスクエア,Kosumosukuea
サッポロビール庭園,サッポロビールていえん,Sapporobi-ruteien
ジヤトコ前,ジヤトコまえ,Jiyatokomae
センター南,センターみなみ,Senta-minami
センター北,センターきた,Senta-kita
テクノさかき,テクノさかき,Tekunosakaki
トレードセンター前,トレードセンターまえ,Trade Center Mae
トロッコ亀岡,トロッコかめおか,Torokkokameoka
トロッコ嵯峨,トロッコさが,Torokkosaga
トロッコ保津峡,トロッコほづきょう,Torokkohodzukyou
トロッコ嵐山,トロッコあらしやま,Torokkoarashiyama
ドーム前千代崎,ドームまえちよざき,Do-mumaechiyozaki
ナゴヤドーム前矢田,ナゴヤドームまえやだ,Nagoyado-mumaeyada
バスセンター前,バスセンターまえ,Bus Center Mae
ファミリー公園前,ファミリーこうえんまえ,Famiri-kouenmae
フジテック前,フジテックまえ,Fujitekkumae
プレイピア白浜,プレイピアしらはま,Pureipiashirahama
ベル前,ベルまえ,Berumae
ポートアイランド南,ポートアイランドみなみ,Port Island Minami
ポートターミナル,ポートターミナル,Port Terminal
ポートタウン西,ポートタウンにし,Port Town Nishi
ポートタウン東,ポートタウンひがし,Port Town Higashi
マキノ,マキノ,Makino
モノレール浜松町,モノレールはままつちょう,Monore-ruhamamatsuchou
モレラ岐阜,モレラぎふ,Moreragifu
ヤナバスキー場前,ヤナバスキーじょうまえ,Yanabasuki-joumae
ユーカリが丘,ユーカリがおか,Yu-karigaoka
ユニバーサルシティ,ユニバーサルシティ,Yuniba-sarushiti
ラクテンチ下,ラクテンチした,Rakutenchishita
ラクテンチ上,ラクテンチうえ,Rakutenchiue
ラベンダー畑,ラベンダーばたけ,Lavendar Batake
リゾートゲートウェイ・ステーション,リゾートゲートウェイ・ステーション,Rizo-toge-towei.Sute-shon
ルイス・Ｃ・ティファニー庭園美術館前,ルイス・シー・ティファニーていえんびじゅつかんまえ,Louis C Tiffany Garden Museum Mae
ロープウェイ入口,ロープウェイいりぐち,Ro-puweiiriguchi
阿下喜,あげき,Ageki
阿久根,あくね,Akune
阿久比,あぐい,Agui
阿佐ケ谷,あさがや,Asagaya
阿左美,あざみ,Azami
阿字ヶ浦,あじがうら,Ajigaura
阿仁マタギ,あにマタギ,Animatagi
阿仁合,あにあい,Aniai
阿仁前田,あにまえだ,Animaeda
阿川,あがわ,Agawa
阿曽,あそ,Aso
阿蘇,あそ,Aso
阿蘇下田城ふれあい温泉,あそしもだじょうふれあいおんせん,Asoshimodajoufureaionsen
阿蘇白川,あそしらかわ,Asoshirakawa
阿倉川,あくらがわ,Akuragawa
阿漕,あこぎ,Akogi
阿知須,あじす,Ajisu
阿田和,あたわ,Atawa
阿南,あなん,Anan
阿波加茂,あわかも,Awakamo
阿波海南,あわかいなん,Awakainan
阿波橘,あわたちばな,Awatachibana
阿波座,あわざ,Awaza
阿波山川,あわやまかわ,Awayamakawa
阿波赤石,あわあかいし,Awaakaishi
阿波川口,あわかわぐち,Awakawaguchi
阿波川端,あわかわばた,Awakawabata
阿波川島,あわかわしま,Awakawashima
阿波大宮,あわおおみや,Awaoomiya
阿波大谷,あわおおたに,Awaootani
阿波池田,あわいけだ,Awaikeda
阿波中島,あわなかしま,Awanakashima
阿波半田,あわはんだ,Awahanda
阿波富田,あわとみだ,Awatomida
阿波福井,あわふくい,Awafukui
阿倍野,あべの,Abeno
阿品,あじな,Ajina
阿品東,あじなひがし,Ajinahigashi
阿分,あふん,Afun
阿母崎,あぼざき,Abozaki
阿木,あぎ,Agi
愛・地球博記念公園,あい・ちきゅうはくきねんこうえん,Ai.Chikyuuhakukinen Park
愛し野,いとしの,Itoshino
愛環梅坪,あいかんうめつぼ,Aikan'umetsubo
愛甲石田,あいこういしだ,Aikouishida
愛山,あいざん,Aizan
愛子,あやし,Ayashi
愛大医学部南口,あいだいいがくぶみなみぐち,Aidaiigakubuminamiguchi
愛知御津,あいちみと,Aichimito
愛知川,えちがわ,Echigawa
愛知大学前,あいちだいがくまえ,Aichidaigakumae
愛宕橋,あたごばし,Atagobashi
愛別,あいべつ,Aibetsu
愛本,あいもと,Aimoto
姶良,あいら,Aira
逢隈,おおくま,Ookuma
逢妻,あいづま,Aidzuma
旭駅前通,あさひえきまえどおり,Asahiekimaedoori
旭橋,あさひばし,Asahibashi
旭川,あさひかわ,Asahikawa
旭川四条,あさひかわよじょう,Asahikawayojou
旭前,あさひまえ,Asahimae
旭町一丁目,あさひまちいっちょうめ,Asahimachiicchoume
旭町三丁目,あさひまちさんちょうめ,Asahimachisanchoume
芦ノ牧温泉,あしのまきおんせん,Ashinomakionsen
芦ノ牧温泉南,あしのまきおんせんみなみ,Ashinomakionsenminami
芦ヶ久保,あしがくぼ,Ashigakubo
芦屋川,あしやがわ,Ashiyagawa
芦花公園,ろかこうえん,Roka Park
芦原,あしはら,Ashihara
芦原温泉,あわらおんせん,Awaraonsen
芦原橋,あしはらばし,Ashiharabashi
芦原町,あしはらちょう,Ashiharachou
芦沢,あしさわ,Ashisawa
芦別,あしべつ,Ashibetsu
芦野公園,あしのこうえん,Ashino Park
梓橋,あずさばし,Azusabashi
綾ノ町,あやのちょう,Ayanochou
綾織,あやおり,Ayaori
綾瀬,あやせ,Ayase
綾部,あやべ,Ayabe
綾羅木,あやらぎ,Ayaragi
綾里,りょうり,Ryouri
鮎貝,あゆかい,Ayukai
鮎喰,あくい,Akui
粟ヶ崎,あわがさき,Awagasaki
粟井,あわい,Awai
粟屋,あわや,Awaya
粟生,あお,Ao
粟生津,あおうづ,Aoudzu
粟野,あわの,Awano
安浦,やすうら,Yasuura
安岡,やすおか,Yasuoka
安牛,やすうし,Yasuushi
安芸阿賀,あきあが,Akiaga
安芸,あき,Aki
安芸幸崎,あきさいざき,Akisaizaki
安芸川尻,あきかわじり,Akikawajiri
安芸中野,あきなかの,Akinakano
安芸長束,あきながつか,Akinagatsuka
安芸長浜,あきながはま,Akinagahama
安芸津,あきつ,Akitsu
安芸矢口,あきやぐち,Akiyaguchi
安国,やすくに,Yasukuni
安子ヶ島,あこがしま,Akogashima
安治川口,あじかわぐち,Ajikawaguchi
安城,あんじょう,Anjou
安食,あじき,Ajiki
安栖里,あせり,Aseri
安積永盛,あさかながもり,Asakanagamori
安善,あんぜん,Anzen
安足間,あんたろま,Antaroma
安達,あだち,Adachi
安中,あんなか,Annaka
安中榛名,あんなかはるな,Annakaharuna
安塚,やすづか,Yasudzuka
安登,あと,Ato
安土,あづち,Adzuchi
安東,やすひがし,Yasuhigashi
安堂,あんどう,Andou
安徳,あんとく,Antoku
安曇沓掛,あずみくつかけ,Azumikutsukake
安曇川,あどがわ,Adogawa
安曇追分,あずみおいわけ,Azumioiwake
安倍川,あべかわ,Abekawa
安比高原,あっぴこうげん,Appikougen
安比奈,あひな,Ahina
安武,やすたけ,Yasutake
安部,あべ,Abe
安部山公園,あべやまこうえん,Abeyama Park
安平,あびら,Abira
安房鴨川,あわかもがわ,Awakamogawa
安房勝山,あわかつやま,Awakatsuyama
安房小湊,あわこみなと,Awakominato
安房天津,あわあまつ,Awaamatsu
安茂里,あもり,Amori
安野屋,やすのや,Yasunoya
安来,やすぎ,Yasugi
安里,あさと,Asato
安立町,あんりゅうまち,Anryuumachi
安和,あわ,Awa
鞍手,くらて,Kurate
鞍馬,くらま,Kurama
鞍馬口,くらまぐち,Kuramaguchi
伊賀,いが,Iga
伊賀屋,いがや,Igaya
伊賀上津,いがこうづ,Igakoudzu
伊賀上野,いがうえの,Igaueno
伊賀神戸,いがかんべ,Igakanbe
伊賀和志,いかわし,Ikawashi
伊香牛,いかうし,Ikaushi
伊佐領,いさりょう,Isaryou
伊集院,いじゅういん,Ijuuin
伊上,いがみ,Igami
伊勢奥津,いせおきつ,Iseokitsu
伊勢鎌倉,いせかまくら,Isekamakura
伊勢原,いせはら,Isehara
伊勢佐木長者町,いせざきちょうじゃまち,Isezakichoujamachi
伊勢崎,いせさき,Isesaki
伊勢市,いせし,Iseshi
伊勢治田,いせはった,Isehatta
伊勢若松,いせわかまつ,Isewakamatsu
伊勢松本,いせまつもと,Isematsumoto
伊勢上野,いせうえの,Iseueno
伊勢石橋,いせいしばし,Iseishibashi
伊勢川口,いせかわぐち,Isekawaguchi
伊勢川島,いせかわしま,Isekawashima
伊勢大井,いせおおい,Iseooi
伊勢竹原,いせたけはら,Isetakehara
伊勢中原,いせなかはら,Isenakahara
伊勢中川,いせなかがわ,Isenakagawa
伊勢朝日,いせあさひ,Iseasahi
伊勢田,いせだ,Iseda
伊勢柏崎,いせかしわざき,Isekashiwazaki
伊勢八太,いせはた,Isehata
伊勢八知,いせやち,Iseyachi
伊川谷,いかわだに,Ikawadani
伊太祁曽,いだきそ,Idakiso
伊達,だて,Date
伊達紋別,だてもんべつ,Datemonbetsu
伊東,いとう,Itou
伊豆稲取,いずいなとり,Izuinatori
伊豆急下田,いずきゅうしもだ,Izukyuushimoda
伊豆高原,いずこうげん,Izukougen
伊豆仁田,いずにった,Izunitta
伊豆多賀,いずたが,Izutaga
伊豆大川,いずおおかわ,Izuookawa
伊豆長岡,いずながおか,Izunagaoka
伊豆熱川,いずあたがわ,Izuatagawa
伊豆北川,いずほっかわ,Izuhokkawa
伊奈,いな,Ina
伊奈中央,いなちゅうおう,Inachuuou
伊那市,いなし,Inashi
伊那小沢,いなこざわ,Inakozawa
伊那松島,いなまつしま,Inamatsushima
伊那上郷,いなかみさと,Inakamisato
伊那新町,いなしんまち,Inashinmachi
伊那大島,いなおおしま,Inaooshima
伊那田島,いなたじま,Inatajima
伊那八幡,いなやわた,Inayawata
伊那福岡,いなふくおか,Inafukuoka
伊那北,いなきた,Inakita
伊那本郷,いなほんごう,Inahongou
伊納,いのう,Inou
伊比井,いびい,Ibii
伊尾木,いおき,Ioki
伊部,いんべ,Inbe
伊保,いほ,Iho
伊万里,いまり,Imari
伊野駅前,いのえきまえ,Inoekimae
伊野商業前,いのしょうぎょうまえ,Inoshougyoumae
伊野灘,いのなだ,Inonada
伊予横田,いよよこた,Iyoyokota
伊予寒川,いよさんがわ,Iyosangawa
伊予亀岡,いよかめおか,Iyokameoka
伊予吉田,いよよしだ,Iyoyoshida
伊予宮野下,いよみやのした,Iyomiyanoshita
伊予桜井,いよさくらい,Iyosakurai
伊予三島,いよみしま,Iyomishima
伊予三芳,いよみよし,Iyomiyoshi
伊予市,いよし,Iyoshi
伊予出石,いよいずし,Iyoizushi
伊予小松,いよこまつ,Iyokomatsu
伊予上灘,いよかみなだ,Iyokaminada
伊予西条,いよさいじょう,Iyosaijou
伊予石城,いよいわき,Iyoiwaki
伊予大洲,いよおおず,Iyooozu
伊予大平,いよおおひら,Iyooohira
伊予中山,いよなかやま,Iyonakayama
伊予長浜,いよながはま,Iyonagahama
伊予土居,いよどい,Iyodoi
伊予白滝,いよしらたき,Iyoshirataki
伊予氷見,いよひみ,Iyohimi
伊予富田,いよとみた,Iyotomita
伊予平野,いよひらの,Iyohirano
伊予北条,いよほうじょう,Iyohoujou
伊予立川,いよたちかわ,Iyotachikawa
伊予和気,いよわけ,Iyowake
伊与喜,いよき,Iyoki
伊里,いり,Iri
依那古,いなこ,Inako
為栗,してぐり,Shiteguri
衣笠,きぬがさ,Kinugasa
衣山,きぬやま,Kinuyama
医王寺前,いおうじまえ,Ioujimae
井の頭公園,いのかしらこうえん,Inokashira Park
井荻,いおぎ,Iogi
井関,いせぎ,Isegi
井原市,いばらいち,Ibaraichi
井原里,いはらのさと,Iharanosato
井戸,いど,Ido
井高野,いたかの,Itakano
井細田,いさいだ,Isaida
井出,いで,Ide
井上,いのうえ,Inoue
井尻,いじり,Ijiri
井川さくら,いかわさくら,Ikawasakura
井川,いかわ,Ikawa
井倉,いくら,Ikura
井田川,いだがわ,Idagawa
井土ヶ谷,いどがや,Idogaya
磯ノ浦,いそのうら,Isonoura
磯鶏,そけい,Sokei
磯原,いそはら,Isohara
磯崎,いそざき,Isozaki
磯山,いそやま,Isoyama
磯子,いそご,Isogo
磯分内,いそぶんない,Isobunnai
一の鳥居,いちのとりい,Ichinotorii
一の渡,いちのわたり,Ichinowatari
一ツ木,ひとつぎ,Hitotsugi
一ノ割,いちのわり,Ichinowari
一ノ関,いちのせき,Ichinoseki
一貴山,いきさん,Ikisan
一宮,いちのみや,Ichinomiya
一橋学園,ひとつばしがくえん,Hitotsubashigakuen
一戸,いちのへ,Ichinohe
一志,いちし,Ichishi
一社,いっしゃ,Issha
一乗寺,いちじょうじ,Ichijouji
一乗谷,いちじょうだに,Ichijoudani
一条橋,いちじょうばし,Ichijoubashi
一身田,いしんでん,Ishinden
一日市場,ひといちば,Hitoichiba
一之江,いちのえ,Ichinoe
一畑口,いちばたぐち,Ichibataguchi
一武,いちぶ,Ichibu
一分,いちぶ,Ichibu
逸見,へみ,Hemi
稲梓,いなずさ,Inazusa
稲永,いなえい,Inaei
稲荷,いなり,Inari
稲荷口,いなりぐち,Inariguchi
稲荷山,いなりやま,Inariyama
稲荷山公園,いなりやまこうえん,Inariyama Park
稲原,いなはら,Inahara
稲戸井,いなとい,Inatoi
稲士別,いなしべつ,Inashibetsu
稲子,いなこ,Inako
稲枝,いなえ,Inae
稲城,いなぎ,Inagi
稲城長沼,いなぎながぬま,Inaginaganuma
稲積公園,いなづみこうえん,Inadzumi Park
稲村ヶ崎,いなむらがさき,Inamuragasaki
稲沢,いなざわ,Inazawa
稲田,いなだ,Inada
稲田堤,いなだづつみ,Inadadzutsumi
稲尾,いなお,Inao
稲穂,いなほ,Inaho
稲毛,いなげ,Inage
稲毛海岸,いなげかいがん,Inagekaigan
稲野,いなの,Inano
茨木,いばらき,Ibaraki
茨木市,いばらきし,Ibarakishi
茨目,いばらめ,Ibarame
印場,いんば,Inba
印西牧の原,いんざいまきのはら,Inzaimakinohara
印南,いなみ,Inami
印旛日本医大,いんばにほんいだい,Inbanihon'idai
因原,いんばら,Inbara
因幡社,いなばやしろ,Inabayashiro
因幡船岡,いなばふなおか,Inabafunaoka
引治,ひきじ,Hikiji
引田,ひけた,Hiketa
院庄,いんのしょう,Innoshou
院内,いんない,Innai
宇賀本郷,うがほんごう,Ugahongou
宇久井,うくい,Ukui
宇佐,うさ,Usa
宇佐美,うさみ,Usami
宇治山田,うじやまだ,Ujiyamada
宇治団地前,うじだんちまえ,Ujidanchimae
宇宿一丁目,うすきいっちょうめ,Usukiicchoume
宇宿,うすき,Usuki
宇多津,うたづ,Utadzu
宇田郷,うたごう,Utagou
宇都井,うづい,Udzui
宇都宮,うつのみや,Utsunomiya
宇都宮貨物ターミナル,うつのみやかもつターミナル,Utsunomiyakamotsu Terminal
宇土,うと,Uto
宇島,うのしま,Unoshima
宇頭,うとう,Utou
宇奈月,うなづき,Unadzuki
宇奈月温泉,うなづきおんせん,Unadzukionsen
宇美,うみ,Umi
宇品五丁目,うじなごちょうめ,Ujinagochoume
宇品三丁目,うじなさんちょうめ,Ujinasanchoume
宇品四丁目,うじなよんちょうめ,Ujinayonchoume
宇品二丁目,うじなにちょうめ,Ujinanichoume
宇部,うべ,Ube
宇部新川,うべしんかわ,Ubeshinkawa
宇部岬,うべみさき,Ubemisaki
宇野,うの,Uno
宇野気,うのけ,Unoke
宇野辺,うのべ,Unobe
宇和島,うわじま,Uwajima
烏丸,からすま,Karasuma
烏丸御池,からすまおいけ,Karasumaoike
烏江,からすえ,Karasue
烏山,からすやま,Karasuyama
烏森,かすもり,Kasumori
羽ノ浦,はのうら,Hanoura
羽衣,はごろも,Hagoromo
羽貫,はぬき,Hanuki
羽間,はざま,Hazama
羽犬塚,はいぬづか,Hainudzuka
羽後岩谷,うごいわや,Ugoiwaya
羽後亀田,うごかめだ,Ugokameda
羽後牛島,うごうしじま,Ugoushijima
羽後境,うごさかい,Ugosakai
羽後四ツ屋,うごよつや,Ugoyotsuya
羽後太田,うごおおた,Ugooota
羽後中里,うごなかざと,Ugonakazato
羽後長戸呂,うごながとろ,Ugonagatoro
羽後長野,うごながの,Ugonagano
羽後飯塚,うごいいづか,Ugoiidzuka
羽後本荘,うごほんじょう,Ugohonjou
羽黒下,はぐろした,Haguroshita
羽根尾,はねお,Haneo
羽咋,はくい,Hakui
羽床,はゆか,Hayuka
羽生,はにゅう,Hanyuu
羽生田,はにゅうだ,Hanyuuda
羽前金沢,うぜんかねざわ,Uzenkanezawa
羽前高松,うぜんたかまつ,Uzentakamatsu
羽前山辺,うぜんやまべ,Uzen'yamabe
羽前小松,うぜんこまつ,Uzenkomatsu
羽前松岡,うぜんまつおか,Uzenmatsuoka
羽前沼沢,うぜんぬまざわ,Uzennumazawa
羽前水沢,うぜんみずさわ,Uzenmizusawa
羽前成田,うぜんなりた,Uzennarita
羽前千歳,うぜんちとせ,Uzenchitose
羽前前波,うぜんぜんなみ,Uzenzennami
羽前大山,うぜんおおやま,Uzen'ooyama
羽前中山,うぜんなかやま,Uzennakayama
羽前長崎,うぜんながさき,Uzennagasaki
羽前椿,うぜんつばき,Uzentsubaki
羽前豊里,うぜんとよさと,Uzentoyosato
羽倉崎,はぐらざき,Hagurazaki
羽村,はむら,Hamura
羽帯,はおび,Haobi
羽鳥,はとり,Hatori
羽田空港,はねだくうこう,Haneda Airport
羽田空港第１ビル,はねだくうこうだいいちビル,Haneda Airport No. 1 Building
羽田空港第２ビル,はねだくうこうだいにビル,Haneda Airport No. 2 Building
羽島市役所前,はしましやくしょまえ,Hashimashiyakushomae
羽立,はだち,Hadachi
雨宮,あめのみや,Amenomiya
雨晴,あまはらし,Amaharashi
卯之町,うのまち,Unomachi
鵜の木,うのき,Unoki
鵜原,うばら,Ubara
鵜住居,うのすまい,Unosumai
鵜沼,うぬま,Unuma
鵜沼宿,うぬまじゅく,Unumajuku
鵜杉,うすぎ,Usugi
鵜殿,うどの,Udono
鵜苫,うとま,Utoma
鵜方,うがた,Ugata
臼杵,うすき,Usuki
臼田,うすだ,Usuda
蔚山町,うるさんまち,Urusanmachi
姥子,うばこ,Ubako
姥堂,うばどう,Ubadou
浦ノ崎,うらのさき,Uranosaki
浦臼,うらうす,Urausu
浦河,うらかわ,Urakawa
浦賀,うらが,Uraga
浦佐,うらさ,Urasa
浦山,うらやま,Urayama
浦山口,うらやまぐち,Urayamaguchi
浦宿,うらしゅく,Urashuku
浦上,うらかみ,Urakami
浦上駅前,うらかみえきまえ,Urakamiekimae
浦川,うらかわ,Urakawa
浦田観音,うらたかんのん,Uratakannon
浦幌,うらほろ,Urahoro
浦本,うらもと,Uramoto
浦和,うらわ,Urawa
浦和美園,うらわみその,Urawamisono
瓜連,うりづら,Uridzura
運河,うんが,Unga
雲井,くもい,Kumoi
雲州平田,うんしゅうひらた,Unshuuhirata
雲雀丘花屋敷,ひばりがおかはなやしき,Hibarigaokahanayashiki
雲泉寺,うんせんじ,Unsenji
荏原中延,えばらなかのぶ,Ebaranakanobu
荏原町,えばらまち,Ebaramachi
影森,かげもり,Kagemori
影待,かげまち,Kagemachi
影野,かげの,Kageno
曳舟,ひきふね,Hikifune
栄生,さこう,Sakou
永覚,えかく,Ekaku
永犬丸,えいのまる,Einomaru
永原,ながはら,Nagahara
永山,ながやま,Nagayama
永田町,ながたちょう,Nagatachou
永尾,ながお,Nagao
永福町,えいふくちょう,Eifukuchou
永平寺口,えいへいじぐち,Eiheijiguchi
頴娃,えい,Ei
頴娃大川,えいおおかわ,Eiookawa
英賀保,あがほ,Agaho
益子,ましこ,Mashiko
益生,ますお,Masuo
益田,ますだ,Masuda
駅家,えきや,Ekiya
駅前,えきまえ,Ekimae
駅前大通,えきまえおおどおり,Ekimaeoodoori
越ノ潟,こしのかた,Koshinokata
越ヶ浜,こしがはま,Koshigahama
越河,こすごう,Kosugou
越戸,こしど,Koshido
越後下関,えちごしもせき,Echigoshimoseki
越後寒川,えちごかんがわ,Echigokangawa
越後岩沢,えちごいわさわ,Echigoiwasawa
越後岩塚,えちごいわつか,Echigoiwatsuka
越後金丸,えちごかなまる,Echigokanamaru
越後広瀬,えちごひろせ,Echigohirose
越後広田,えちごひろた,Echigohirota
越後鹿渡,えちごしかわたり,Echigoshikawatari
越後須原,えちごすはら,Echigosuhara
越後水沢,えちごみずさわ,Echigomizusawa
越後石山,えちごいしやま,Echigoishiyama
越後赤塚,えちごあかつか,Echigoakatsuka
越後川口,えちごかわぐち,Echigokawaguchi
越後曽根,えちごそね,Echigosone
越後早川,えちごはやかわ,Echigohayakawa
越後大島,えちごおおしま,Echigoooshima
越後滝谷,えちごたきや,Echigotakiya
越後中里,えちごなかざと,Echigonakazato
越後田沢,えちごたざわ,Echigotazawa
越後田中,えちごたなか,Echigotanaka
越後湯沢,えちごゆざわ,Echigoyuzawa
越後片貝,えちごかたかい,Echigokatakai
越後堀之内,えちごほりのうち,Echigohorinouchi
越水,こしみず,Koshimizu
越生,おごせ,Ogose
越前下山,えちぜんしもやま,Echizenshimoyama
越前花堂,えちぜんはなんどう,Echizenhanandou
越前開発,えちぜんかいほつ,Echizenkaihotsu
越前高田,えちぜんたかだ,Echizentakada
越前新保,えちぜんしんぼ,Echizenshinbo
越前大宮,えちぜんおおみや,Echizen'oomiya
越前大野,えちぜんおおの,Echizen'oono
越前竹原,えちぜんたけわら,Echizentakewara
越前田野,えちぜんたの,Echizentano
越前島橋,えちぜんしまばし,Echizenshimabashi
越前東郷,えちぜんとうごう,Echizentougou
越前富田,えちぜんとみだ,Echizentomida
越前野中,えちぜんのなか,Echizennonaka
越前薬師,えちぜんやくし,Echizen'yakushi
越谷レイクタウン,こしがやレイクタウン,Koshigayareikutaun
越谷,こしがや,Koshigaya
越谷貨物ターミナル,こしがやかもつターミナル,Koshigayakamotsu Terminal
越中荏原,えっちゅうえばら,Ecchuuebara
越中宮崎,えっちゅうみやざき,Ecchuumiyazaki
越中国分,えっちゅうこくぶ,Ecchuukokubu
越中三郷,えっちゅうさんごう,Ecchuusangou
越中山田,えっちゅうやまだ,Ecchuuyamada
越中舟橋,えっちゅうふなはし,Ecchuufunahashi
越中泉,えっちゅういずみ,Ecchuuizumi
越中大門,えっちゅうだいもん,Ecchuudaimon
